50000, 0.00099, 0.00029
51000, 0.00101, 0.00030
52000, 0.00102, 0.00030
53000, 0.00105, 0.00031
54000, 0.00106, 0.00032
55000, 0.00109, 0.00032
56000, 0.00111, 0.00033
57000, 0.00112, 0.00033
58000, 0.00113, 0.00034
59000, 0.00115, 0.00035
60000, 0.00117, 0.00035
61000, 0.00120, 0.00036
62000, 0.00121, 0.00037
63000, 0.00124, 0.00037
64000, 0.00127, 0.00038
65000, 0.00129, 0.00038
66000, 0.00130, 0.00039
67000, 0.00132, 0.00039
68000, 0.00134, 0.00040
69000, 0.00136, 0.00040
70000, 0.00138, 0.00041
71000, 0.00140, 0.00042
72000, 0.00141, 0.00042
73000, 0.00144, 0.00043
74000, 0.00146, 0.00044
75000, 0.00145, 0.00044
76000, 0.00149, 0.00045
77000, 0.00151, 0.00045
78000, 0.00154, 0.00046
79000, 0.00155, 0.00047
80000, 0.00156, 0.00046
81000, 0.00160, 0.00048
82000, 0.00161, 0.00048
83000, 0.00161, 0.00049
84000, 0.00165, 0.00049
85000, 0.00168, 0.00050
86000, 0.00170, 0.00050
87000, 0.00171, 0.00050
88000, 0.00172, 0.00052
89000, 0.00173, 0.00053
90000, 0.00178, 0.00053
91000, 0.00178, 0.00054
92000, 0.00179, 0.00054
93000, 0.00183, 0.00055
94000, 0.00184, 0.00056
95000, 0.00186, 0.00056
96000, 0.00187, 0.00055
97000, 0.00189, 0.00056
98000, 0.00191, 0.00058
99000, 0.00193, 0.00057
